# sens: 24
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50075freqfini: 50125n_med: 100Los datos estan ordenados de forma freqs, rs, ts.
5.007500000000000000e+04,5.075860000000000094e-02,-1.110960000000000036e+02
5.007550505050505308e+04,5.235309999999999964e-02,-1.112279999999999944e+02
5.007601010101009888e+04,5.355100000000000138e-02,-1.114080000000000013e+02
5.007651515151515196e+04,5.481740000000000224e-02,-1.116059999999999945e+02
5.007702020202020503e+04,5.614500000000000046e-02,-1.118100000000000023e+02
5.007752525252525083e+04,5.754109999999999780e-02,-1.120199999999999960e+02
5.007803030303030391e+04,5.902120000000000283e-02,-1.122480000000000047e+02
5.007853535353535699e+04,6.057760000000000228e-02,-1.124879999999999995e+02
5.007904040404040279e+04,6.224849999999999828e-02,-1.127339999999999947e+02
5.007954545454545587e+04,6.399580000000000546e-02,-1.130160000000000053e+02
5.008005050505050167e+04,6.585739999999999650e-02,-1.132920000000000016e+02
5.008055555555555475e+04,6.785629999999999440e-02,-1.136039999999999992e+02
5.008106060606060782e+04,6.996969999999999579e-02,-1.139339999999999975e+02
5.008156565656565363e+04,7.223559999999999703e-02,-1.142699999999999960e+02
5.008207070707070670e+04,7.466169999999999751e-02,-1.146479999999999961e+02
5.008257575757575978e+04,7.725569999999999660e-02,-1.150499999999999972e+02
5.008308080808080558e+04,8.006330000000000391e-02,-1.154879999999999995e+02
5.008358585858585866e+04,8.307699999999999807e-02,-1.159500000000000028e+02
5.008409090909091174e+04,8.634999999999999620e-02,-1.164659999999999940e+02
5.008459595959595754e+04,8.990529999999999355e-02,-1.170120000000000005e+02
5.008510101010101062e+04,9.375809999999999700e-02,-1.176179999999999950e+02
5.008560606060606369e+04,9.796950000000000103e-02,-1.182900000000000063e+02
5.008611111111110949e+04,1.026009999999999978e-01,-1.190160000000000053e+02
5.008661616161616257e+04,1.076740000000000058e-01,-1.198139999999999930e+02
5.008712121212121565e+04,1.132890000000000008e-01,-1.207079999999999984e+02
5.008762626262626145e+04,1.195380000000000054e-01,-1.217099999999999937e+02
5.008813131313131453e+04,1.265040000000000053e-01,-1.228199999999999932e+02
5.008863636363636033e+04,1.343090000000000117e-01,-1.240979999999999990e+02
5.008914141414141341e+04,1.430750000000000077e-01,-1.255379999999999967e+02
5.008964646464646648e+04,1.530310000000000004e-01,-1.271940000000000026e+02
5.009015151515151229e+04,1.643610000000000071e-01,-1.291140000000000043e+02
5.009065656565656536e+04,1.773160000000000014e-01,-1.313520000000000039e+02
5.009116161616161844e+04,1.922619999999999885e-01,-1.339679999999999893e+02
5.009166666666666424e+04,2.094280000000000030e-01,-1.370879999999999939e+02
5.009217171717171732e+04,2.184379999999999933e-01,-1.408319999999999936e+02
5.009267676767677040e+04,2.184379999999999933e-01,-1.453499999999999943e+02
5.009318181818181620e+04,2.184379999999999933e-01,-1.508520000000000039e+02
5.009368686868686927e+04,2.184379999999999933e-01,-1.575360000000000014e+02
5.009419191919192235e+04,2.184379999999999933e-01,-1.655939999999999941e+02
5.009469696969696815e+04,2.184379999999999933e-01,-1.750680000000000121e+02
5.009520202020202123e+04,2.184379999999999933e-01,1.742940000000000111e+02
5.009570707070707431e+04,2.184379999999999933e-01,1.630620000000000118e+02
5.009621212121212011e+04,2.184379999999999933e-01,1.520399999999999920e+02
5.009671717171717319e+04,2.184379999999999933e-01,1.419780000000000086e+02
5.009722222222221899e+04,2.184379999999999933e-01,1.332959999999999923e+02
5.009772727272727207e+04,2.184379999999999933e-01,1.260240000000000009e+02
5.009823232323232514e+04,2.184379999999999933e-01,1.200420000000000016e+02
5.009873737373737094e+04,2.184379999999999933e-01,1.151400000000000006e+02
5.009924242424242402e+04,2.089550000000000018e-01,1.110900000000000034e+02
5.009974747474747710e+04,1.904000000000000137e-01,1.077240000000000038e+02
5.010025252525252290e+04,1.743169999999999997e-01,1.049099999999999966e+02
5.010075757575757598e+04,1.604009999999999880e-01,1.025160000000000053e+02
5.010126262626262906e+04,1.482630000000000059e-01,1.004759999999999991e+02
5.010176767676767486e+04,1.376429999999999876e-01,9.871800000000000352e+01
5.010227272727272793e+04,1.283040000000000014e-01,9.717600000000000193e+01
5.010277777777778101e+04,1.200409999999999949e-01,9.583199999999999363e+01
5.010328282828282681e+04,1.126790000000000014e-01,9.464400000000000546e+01
5.010378787878787989e+04,1.060949999999999949e-01,9.358199999999999363e+01
5.010429292929292569e+04,1.001819999999999933e-01,9.264000000000000057e+01
5.010479797979797877e+04,9.484910000000000563e-02,9.179399999999999693e+01
5.010530303030303185e+04,9.001209999999999767e-02,9.102599999999999625e+01
5.010580808080807765e+04,8.560230000000000616e-02,9.032999999999999829e+01
5.010631313131313073e+04,8.156629999999999436e-02,8.969400000000000261e+01
5.010681818181818380e+04,7.786609999999999365e-02,8.911199999999999477e+01
5.010732323232322960e+04,7.447099999999999553e-02,8.857200000000000273e+01
5.010782828282828268e+04,7.134290000000000076e-02,8.809799999999999898e+01
5.010833333333333576e+04,6.844379999999999908e-02,8.764199999999999591e+01
5.010883838383838156e+04,6.575060000000000626e-02,8.722199999999999420e+01
5.010934343434343464e+04,6.324050000000000504e-02,8.683199999999999363e+01
5.010984848484848771e+04,6.089809999999999668e-02,8.647199999999999420e+01
5.011035353535353352e+04,5.872369999999999673e-02,8.613599999999999568e+01
5.011085858585858659e+04,5.667900000000000021e-02,8.582399999999999807e+01
5.011136363636363967e+04,5.475639999999999674e-02,8.552400000000000091e+01
5.011186868686868547e+04,5.294820000000000082e-02,8.524200000000000443e+01
5.011237373737373855e+04,5.125450000000000145e-02,8.497199999999999420e+01
5.011287878787878435e+04,4.964469999999999994e-02,8.473199999999999932e+01
5.011338383838383743e+04,4.812650000000000261e-02,8.448600000000000421e+01
5.011388888888889051e+04,4.669210000000000027e-02,8.428199999999999648e+01
5.011439393939393631e+04,4.533410000000000217e-02,8.406000000000000227e+01
5.011489898989898938e+04,4.404469999999999913e-02,8.386799999999999500e+01
5.011540404040404246e+04,4.281639999999999752e-02,8.368200000000000216e+01
5.011590909090908826e+04,4.164149999999999796e-02,8.348999999999999488e+01
5.011641414141414134e+04,4.052759999999999696e-02,8.332200000000000273e+01
5.011691919191919442e+04,3.946709999999999802e-02,8.317199999999999704e+01
5.011742424242424022e+04,3.845239999999999769e-02,8.302200000000000557e+01
5.011792929292929330e+04,3.748350000000000293e-02,8.287199999999999989e+01
5.011843434343434637e+04,3.655270000000000047e-02,8.272799999999999443e+01
5.011893939393939218e+04,3.567530000000000007e-02,8.259000000000000341e+01
5.011944444444444525e+04,3.482079999999999897e-02,8.246399999999999864e+01
5.011994949494949833e+04,3.400439999999999713e-02,8.234999999999999432e+01
5.012045454545454413e+04,3.321860000000000090e-02,8.223000000000000398e+01
5.012095959595959721e+04,3.247089999999999699e-02,8.211599999999999966e+01
5.012146464646464301e+04,3.173850000000000282e-02,8.199599999999999511e+01
5.012196969696969609e+04,3.105180000000000093e-02,8.189400000000000546e+01
5.012247474747474917e+04,3.037269999999999900e-02,8.179800000000000182e+01
5.012297979797979497e+04,2.973189999999999861e-02,8.169599999999999795e+01
5.012348484848484804e+04,2.910630000000000162e-02,8.159999999999999432e+01
5.012398989898990112e+04,2.850350000000000106e-02,8.151600000000000534e+01
5.012449494949494692e+04,2.792369999999999922e-02,8.143200000000000216e+01
5.012500000000000000e+04,2.735910000000000078e-02,8.134199999999999875e+01
