# sens: 25
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 10freqfini: 60000n_med: 200Los datos estan ordenados de forma freqs, rs, ts.
1.000000000000000000e+01,5.798379999999999463e-04,8.840999999999999659e+01
3.114572864321607994e+02,3.051780000000000112e-05,-9.000000000000000000e+01
6.129145728643215989e+02,6.103560000000000224e-05,-9.000000000000000000e+01
9.143718592964823983e+02,9.155319999999999615e-05,-9.000000000000000000e+01
1.215829145728643198e+03,1.220709999999999905e-04,-9.000000000000000000e+01
1.517286432160803997e+03,1.525890000000000124e-04,-9.000000000000000000e+01
1.818743718592964797e+03,1.831059999999999914e-04,-9.000000000000000000e+01
2.120201005025125596e+03,2.136240000000000133e-04,-9.000000000000000000e+01
2.421658291457286396e+03,2.441419999999999810e-04,-9.000000000000000000e+01
2.723115577889447195e+03,2.746599999999999758e-04,-9.000000000000000000e+01
3.024572864321607994e+03,3.051780000000000248e-04,-9.000000000000000000e+01
3.326030150753768794e+03,3.662129999999999986e-04,-9.000000000000000000e+01
3.627487437185929593e+03,3.967299999999999776e-04,-9.000000000000000000e+01
3.928944723618090393e+03,4.272480000000000266e-04,-9.000000000000000000e+01
4.230402010050251192e+03,4.577660000000000214e-04,-9.204600000000000648e+01
4.531859296482411992e+03,4.882849999999999777e-04,-9.190800000000000125e+01
4.833316582914572791e+03,5.188029999999999725e-04,-9.178799999999999670e+01
5.134773869346733591e+03,5.493199999999999516e-04,-9.168600000000000705e+01
5.436231155778894390e+03,5.798379999999999463e-04,-9.159000000000000341e+01
5.737688442211055190e+03,6.103550000000000338e-04,-9.150600000000000023e+01
6.039145728643215989e+03,6.408730000000000286e-04,-9.143399999999999750e+01
6.340603015075376788e+03,6.713900000000000076e-04,-9.136199999999999477e+01
6.642060301507537588e+03,7.324259999999999972e-04,-9.130200000000000671e+01
6.943517587939698387e+03,7.629429999999999762e-04,-9.248999999999999488e+01
7.244974874371859187e+03,7.934609999999999710e-04,-9.238800000000000523e+01
7.546432160804019986e+03,8.239779999999999500e-04,-9.229200000000000159e+01
7.847889447236180786e+03,8.544960000000000533e-04,-9.220199999999999818e+01
8.149346733668341585e+03,8.850130000000000323e-04,-9.211799999999999500e+01
8.450804020100502385e+03,9.155310000000000271e-04,-9.204600000000000648e+01
8.752261306532662275e+03,9.460490000000000219e-04,-9.197400000000000375e+01
9.053718592964823983e+03,9.765699999999999555e-04,-9.286199999999999477e+01
9.355175879396985692e+03,1.007089999999999982e-03,-9.277200000000000557e+01
9.656633165829145582e+03,1.037610000000000008e-03,-9.268200000000000216e+01
9.958090452261305472e+03,1.098639999999999903e-03,-9.260399999999999920e+01
1.025954773869346718e+04,1.129159999999999929e-03,-9.336599999999999966e+01
1.056100502512562889e+04,1.159679999999999956e-03,-9.326999999999999602e+01
1.086246231155778878e+04,1.190190000000000041e-03,-9.318000000000000682e+01
1.116391959798994867e+04,1.190190000000000041e-03,-9.313800000000000523e+01
1.146537688442211038e+04,1.220710000000000068e-03,-9.305400000000000205e+01
1.176683417085427209e+04,1.281749999999999903e-03,-9.371399999999999864e+01
1.206829145728643198e+04,1.312259999999999989e-03,-9.362399999999999523e+01
1.236974874371859187e+04,1.342780000000000015e-03,-9.353400000000000603e+01
1.267120603015075358e+04,1.373300000000000042e-03,-9.345000000000000284e+01
1.297266331658291529e+04,1.403820000000000068e-03,-9.403799999999999670e+01
1.327412060301507518e+04,1.434329999999999937e-03,-9.394199999999999307e+01
1.357557788944723507e+04,1.464849999999999963e-03,-9.385800000000000409e+01
1.387703517587939677e+04,1.495369999999999989e-03,-9.377400000000000091e+01
1.417849246231155848e+04,1.525890000000000015e-03,-9.430200000000000671e+01
1.447994974874371837e+04,1.556400000000000101e-03,-9.421200000000000330e+01
1.478140703517587826e+04,1.586919999999999911e-03,-9.412800000000000011e+01
1.508286432160803997e+04,1.647959999999999963e-03,-9.462000000000000455e+01
1.538432160804020168e+04,1.678470000000000049e-03,-9.453000000000000114e+01
1.568577889447236157e+04,1.708990000000000075e-03,-9.443999999999999773e+01
1.598723618090452146e+04,1.739510000000000101e-03,-9.490200000000000102e+01
1.628869346733668317e+04,1.770029999999999911e-03,-9.480599999999999739e+01
1.659015075376884488e+04,1.770029999999999911e-03,-9.476399999999999579e+01
1.689160804020100477e+04,1.831060000000000023e-03,-9.519599999999999795e+01
1.719306532663316466e+04,1.861580000000000049e-03,-9.509999999999999432e+01
1.749452261306532455e+04,1.892100000000000075e-03,-9.501600000000000534e+01
1.779597989949748808e+04,1.922609999999999944e-03,-9.541800000000000637e+01
1.809743718592964797e+04,1.953139999999999911e-03,-9.532800000000000296e+01
1.839889447236180786e+04,2.014179999999999963e-03,-9.571200000000000330e+01
1.870035175879397138e+04,2.044690000000000049e-03,-9.561599999999999966e+01
1.900180904522613127e+04,2.075210000000000075e-03,-9.552599999999999625e+01
1.930326633165829116e+04,2.105730000000000102e-03,-9.589199999999999591e+01
1.960472361809045105e+04,2.136250000000000128e-03,-9.579600000000000648e+01
1.990618090452261094e+04,2.166760000000000214e-03,-9.614400000000000546e+01
2.020763819095477447e+04,2.197279999999999806e-03,-9.610200000000000387e+01
2.050909547738693436e+04,2.227799999999999832e-03,-9.643800000000000239e+01
2.081055276381909425e+04,2.258319999999999859e-03,-9.634199999999999875e+01
2.111201005025125778e+04,2.288829999999999944e-03,-9.624599999999999511e+01
2.141346733668341767e+04,2.319349999999999971e-03,-9.615600000000000591e+01
2.171492462311557756e+04,2.349869999999999997e-03,-9.647400000000000375e+01
2.201638190954773745e+04,2.380390000000000023e-03,-9.638400000000000034e+01
2.231783919597989734e+04,2.410900000000000109e-03,-9.668999999999999773e+01
2.261929648241206087e+04,2.441420000000000135e-03,-9.702599999999999625e+01
2.292075376884422076e+04,2.471940000000000161e-03,-9.693600000000000705e+01
2.322221105527638065e+04,2.502460000000000188e-03,-9.684000000000000341e+01
2.352366834170854418e+04,2.532969999999999840e-03,-9.712199999999999989e+01
2.382512562814070407e+04,2.563489999999999866e-03,-9.703199999999999648e+01
2.412658291457286396e+04,2.594009999999999892e-03,-9.730800000000000693e+01
2.442804020100502385e+04,2.624529999999999919e-03,-9.757200000000000273e+01
2.472949748743718374e+04,2.655040000000000004e-03,-9.747599999999999909e+01
2.503095477386934726e+04,2.685560000000000030e-03,-9.743399999999999750e+01
2.533241206030150715e+04,2.716080000000000057e-03,-9.768600000000000705e+01
2.563386934673366704e+04,2.777110000000000169e-03,-9.793200000000000216e+01
2.593532663316583057e+04,2.807630000000000195e-03,-9.784199999999999875e+01
2.623678391959799046e+04,2.838149999999999788e-03,-9.808199999999999363e+01
2.653824120603015035e+04,2.868669999999999814e-03,-9.798600000000000421e+01
2.683969849246231024e+04,2.899179999999999899e-03,-9.826800000000000068e+01
2.714115577889447013e+04,2.929699999999999926e-03,-9.817799999999999727e+01
2.744261306532663366e+04,2.960219999999999952e-03,-9.840600000000000591e+01
2.774407035175879355e+04,2.990739999999999978e-03,-9.831000000000000227e+01
2.804552763819095344e+04,3.021260000000000005e-03,-9.821999999999999886e+01
2.834698492462311697e+04,3.051770000000000090e-03,-9.843600000000000705e+01
2.864844221105527686e+04,3.082290000000000117e-03,-9.870000000000000284e+01
2.894989949748743675e+04,3.112810000000000143e-03,-9.860399999999999920e+01
2.925135678391959664e+04,3.143330000000000169e-03,-9.881399999999999295e+01
2.955281407035175653e+04,3.173839999999999821e-03,-9.901800000000000068e+01
2.985427135678392006e+04,3.204359999999999847e-03,-9.892799999999999727e+01
3.015572864321607994e+04,3.204359999999999847e-03,-9.917400000000000659e+01
3.045718592964823983e+04,3.265399999999999900e-03,-9.907800000000000296e+01
3.075864321608040336e+04,3.295909999999999986e-03,-9.926999999999999602e+01
3.106010050251256325e+04,3.326430000000000012e-03,-9.918000000000000682e+01
3.136155778894472314e+04,3.356950000000000038e-03,-9.941400000000000148e+01
3.166301507537688303e+04,3.387470000000000064e-03,-9.932399999999999807e+01
3.196447236180904292e+04,3.417980000000000150e-03,-9.978000000000000114e+01
3.226592964824120645e+04,3.448500000000000176e-03,-9.968999999999999773e+01
3.256738693467336634e+04,3.479020000000000203e-03,-9.959999999999999432e+01
3.286884422110552987e+04,3.509539999999999795e-03,-9.982200000000000273e+01
3.317030150753768976e+04,3.540049999999999881e-03,-9.998999999999999488e+01
3.347175879396984965e+04,3.570569999999999907e-03,-9.990000000000000568e+01
3.377321608040200954e+04,3.601089999999999933e-03,-1.000679999999999978e+02
3.407467336683416943e+04,3.631609999999999960e-03,-1.002840000000000060e+02
3.437613065326632932e+04,3.662120000000000045e-03,-1.004459999999999980e+02
3.467758793969848921e+04,3.692640000000000072e-03,-1.003499999999999943e+02
3.497904522613064910e+04,3.723160000000000098e-03,-1.002600000000000051e+02
3.528050251256281626e+04,3.753680000000000124e-03,-1.004159999999999968e+02
3.558195979899497615e+04,3.784190000000000210e-03,-1.006200000000000045e+02
3.588341708542713604e+04,3.814709999999999802e-03,-1.005300000000000011e+02
3.618487437185929593e+04,3.845229999999999829e-03,-1.006800000000000068e+02
3.648633165829145582e+04,3.875749999999999855e-03,-1.008299999999999983e+02
