# sens: 23
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50000freqfini: 50200n_med: 100Los datos estan ordenados de forma freqs, rs, ts.
5.000000000000000000e+04,1.499939999999999954e-02,-1.058400000000000034e+02
5.000202020202020503e+04,1.530459999999999980e-02,-1.058880000000000052e+02
5.000404040404040279e+04,1.552970000000000045e-02,-1.059060000000000059e+02
5.000606060606060782e+04,1.576630000000000045e-02,-1.059360000000000070e+02
5.000808080808080558e+04,1.601040000000000102e-02,-1.059719999999999942e+02
5.001010101010101062e+04,1.626599999999999921e-02,-1.059959999999999951e+02
5.001212121212121565e+04,1.653680000000000080e-02,-1.060499999999999972e+02
5.001414141414141341e+04,1.681910000000000002e-02,-1.060799999999999983e+02
5.001616161616161844e+04,1.712050000000000030e-02,-1.061039999999999992e+02
5.001818181818181620e+04,1.743329999999999880e-02,-1.061640000000000015e+02
5.002020202020202123e+04,1.776519999999999835e-02,-1.062000000000000028e+02
5.002222222222221899e+04,1.811230000000000132e-02,-1.062360000000000042e+02
5.002424242424242402e+04,1.848230000000000012e-02,-1.062900000000000063e+02
5.002626262626262906e+04,1.887139999999999998e-02,-1.063439999999999941e+02
5.002828282828282681e+04,1.927960000000000090e-02,-1.063979999999999961e+02
5.003030303030303185e+04,1.971830000000000110e-02,-1.064579999999999984e+02
5.003232323232322960e+04,2.018369999999999886e-02,-1.065300000000000011e+02
5.003434343434343464e+04,2.067959999999999937e-02,-1.065900000000000034e+02
5.003636363636363967e+04,2.120980000000000087e-02,-1.066620000000000061e+02
5.003838383838383743e+04,2.178199999999999928e-02,-1.067459999999999951e+02
5.004040404040404246e+04,2.239239999999999980e-02,-1.068299999999999983e+02
5.004242424242424022e+04,2.304470000000000129e-02,-1.069080000000000013e+02
5.004444444444444525e+04,2.375040000000000137e-02,-1.070220000000000056e+02
5.004646464646464301e+04,2.451719999999999941e-02,-1.071299999999999955e+02
5.004848484848484804e+04,2.534880000000000119e-02,-1.072379999999999995e+02
5.005050505050505308e+04,2.624910000000000090e-02,-1.073700000000000045e+02
5.005252525252525083e+04,2.724089999999999845e-02,-1.075139999999999958e+02
5.005454545454545587e+04,2.833190000000000014e-02,-1.076640000000000015e+02
5.005656565656565363e+04,2.952209999999999904e-02,-1.078439999999999941e+02
5.005858585858585866e+04,3.085339999999999958e-02,-1.080300000000000011e+02
5.006060606060606369e+04,3.233359999999999707e-02,-1.082459999999999951e+02
5.006262626262626145e+04,3.399680000000000063e-02,-1.084860000000000042e+02
5.006464646464646648e+04,3.586980000000000030e-02,-1.087680000000000007e+02
5.006666666666666424e+04,3.799840000000000162e-02,-1.090799999999999983e+02
5.006868686868686927e+04,4.045510000000000078e-02,-1.094399999999999977e+02
5.007070707070707431e+04,4.330090000000000328e-02,-1.098719999999999999e+02
5.007272727272727207e+04,4.663489999999999996e-02,-1.103700000000000045e+02
5.007474747474747710e+04,5.061750000000000277e-02,-1.109699999999999989e+02
5.007676767676767486e+04,5.541630000000000167e-02,-1.117079999999999984e+02
5.007878787878787989e+04,6.134060000000000207e-02,-1.126080000000000041e+02
5.008080808080807765e+04,6.882520000000000304e-02,-1.137660000000000053e+02
5.008282828282828268e+04,7.856420000000000070e-02,-1.152780000000000058e+02
5.008484848484848771e+04,9.170580000000000398e-02,-1.173299999999999983e+02
5.008686868686868547e+04,1.092189999999999966e-01,-1.202879999999999967e+02
5.008888888888889051e+04,1.092189999999999966e-01,-1.248239999999999981e+02
5.009090909090908826e+04,1.092189999999999966e-01,-1.326239999999999952e+02
