date/time: .03/05/2018.12:36 p.m.
Run 1

time	V
0.000000	6.512065E+0
0.001000	6.519601E+0
0.002000	6.522113E+0
0.003000	6.539698E+0
0.004000	6.542210E+0
0.005000	6.547234E+0
0.006000	6.549746E+0
0.007000	6.549746E+0
0.008000	6.544722E+0
0.009000	6.532162E+0
0.010000	6.524625E+0
0.011000	6.517089E+0
0.012000	6.524625E+0
0.013000	6.502017E+0
0.014000	6.512065E+0
0.015000	6.507041E+0
0.016000	6.504529E+0
0.017000	6.502017E+0
0.018000	6.496993E+0
0.019000	6.507041E+0
0.020000	6.514577E+0
0.021000	6.519601E+0
0.022000	6.529649E+0
0.023000	6.547234E+0
0.024000	6.539698E+0
0.025000	6.547234E+0
0.026000	6.542210E+0
0.027000	6.534674E+0
0.028000	6.534674E+0
0.029000	6.534674E+0
0.030000	6.529649E+0
0.031000	6.529649E+0
0.032000	6.522113E+0
0.033000	6.502017E+0
0.034000	6.496993E+0
0.035000	6.491968E+0
0.036000	6.502017E+0
0.037000	6.499505E+0
0.038000	6.509553E+0
0.039000	6.519601E+0
0.040000	6.514577E+0
0.041000	6.519601E+0
0.042000	6.522113E+0
0.043000	6.539698E+0
0.044000	6.532162E+0
0.045000	6.544722E+0
0.046000	6.542210E+0
0.047000	6.544722E+0
0.048000	6.539698E+0
0.049000	6.534674E+0
0.050000	6.534674E+0
0.051000	6.529649E+0
0.052000	6.522113E+0
0.053000	6.499505E+0
0.054000	6.502017E+0
0.055000	6.494480E+0
0.056000	6.496993E+0
0.057000	6.502017E+0
0.058000	6.502017E+0
0.059000	6.517089E+0
0.060000	6.519601E+0
0.061000	6.517089E+0
0.062000	6.519601E+0
0.063000	6.539698E+0
0.064000	6.532162E+0
0.065000	6.534674E+0
0.066000	6.534674E+0
0.067000	6.544722E+0
0.068000	6.537186E+0
0.069000	6.529649E+0
0.070000	6.532162E+0
0.071000	6.527137E+0
0.072000	6.527137E+0
0.073000	6.504529E+0
0.074000	6.502017E+0
0.075000	6.499505E+0
0.076000	6.496993E+0
0.077000	6.491968E+0
0.078000	6.504529E+0
0.079000	6.514577E+0
0.080000	6.514577E+0
0.081000	6.524625E+0
0.082000	6.527137E+0
0.083000	6.542210E+0
0.084000	6.539698E+0
0.085000	6.539698E+0
0.086000	6.532162E+0
0.087000	6.534674E+0
0.088000	6.529649E+0
0.089000	6.527137E+0
0.090000	6.519601E+0
0.091000	6.517089E+0
0.092000	6.524625E+0
0.093000	6.504529E+0
0.094000	6.504529E+0
0.095000	6.494480E+0
0.096000	6.502017E+0
0.097000	6.489456E+0
0.098000	6.494480E+0
0.099000	6.502017E+0
0.100000	6.514577E+0
0.101000	6.519601E+0
0.102000	6.519601E+0
0.103000	6.539698E+0
0.104000	6.547234E+0
0.105000	6.542210E+0
0.106000	6.539698E+0
0.107000	6.539698E+0
0.108000	6.532162E+0
0.109000	6.522113E+0
0.110000	6.524625E+0
0.111000	6.519601E+0
0.112000	6.522113E+0
0.113000	6.504529E+0
0.114000	6.502017E+0
0.115000	6.502017E+0
0.116000	6.494480E+0
0.117000	6.496993E+0
0.118000	6.499505E+0
0.119000	6.502017E+0
0.120000	6.504529E+0
0.121000	6.512065E+0
0.122000	6.517089E+0
0.123000	6.537186E+0
0.124000	6.544722E+0
0.125000	6.547234E+0
0.126000	6.539698E+0
0.127000	6.539698E+0
0.128000	6.532162E+0
0.129000	6.522113E+0
0.130000	6.522113E+0
0.131000	6.519601E+0
0.132000	6.519601E+0
0.133000	6.504529E+0
0.134000	6.502017E+0
0.135000	6.502017E+0
0.136000	6.499505E+0
0.137000	6.496993E+0
0.138000	6.496993E+0
0.139000	6.504529E+0
0.140000	6.507041E+0
0.141000	6.517089E+0
0.142000	6.519601E+0
0.143000	6.544722E+0
0.144000	6.544722E+0
0.145000	6.539698E+0
0.146000	6.539698E+0
0.147000	6.534674E+0
0.148000	6.534674E+0
0.149000	6.524625E+0
0.150000	6.527137E+0
0.151000	6.524625E+0
0.152000	6.524625E+0
0.153000	6.499505E+0
0.154000	6.499505E+0
0.155000	6.496993E+0
0.156000	6.491968E+0
0.157000	6.489456E+0
0.158000	6.499505E+0
0.159000	6.512065E+0
0.160000	6.514577E+0
0.161000	6.522113E+0
0.162000	6.524625E+0
0.163000	6.539698E+0
0.164000	6.534674E+0
0.165000	6.537186E+0
0.166000	6.539698E+0
0.167000	6.542210E+0
0.168000	6.544722E+0
0.169000	6.534674E+0
0.170000	6.527137E+0
0.171000	6.522113E+0
0.172000	6.517089E+0
0.173000	6.491968E+0
0.174000	6.489456E+0
0.175000	6.491968E+0
0.176000	6.496993E+0
0.177000	6.496993E+0
0.178000	6.504529E+0
0.179000	6.514577E+0
0.180000	6.517089E+0
0.181000	6.519601E+0
0.182000	6.519601E+0
0.183000	6.529649E+0
0.184000	6.537186E+0
0.185000	6.539698E+0
0.186000	6.534674E+0
0.187000	6.537186E+0
0.188000	6.547234E+0
0.189000	6.529649E+0
0.190000	6.519601E+0
0.191000	6.519601E+0
0.192000	6.512065E+0
0.193000	6.494480E+0
0.194000	6.489456E+0
0.195000	6.499505E+0
0.196000	6.502017E+0
0.197000	6.504529E+0
0.198000	6.504529E+0
0.199000	6.517089E+0
0.200000	6.514577E+0
0.201000	6.514577E+0
0.202000	6.514577E+0
0.203000	6.532162E+0
