# sens: 25
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50000freqfini: 50450n_med: 200Los datos estan ordenados de forma freqs, rs, ts.
5.000000000000000000e+04,1.504519999999999989e-02,-1.058040000000000020e+02
5.000226130653266591e+04,1.538089999999999943e-02,-1.058460000000000036e+02
5.000452261306532455e+04,1.562509999999999941e-02,-1.058880000000000052e+02
5.000678391959799046e+04,1.589979999999999866e-02,-1.059300000000000068e+02
5.000904522613065637e+04,1.617439999999999850e-02,-1.059539999999999935e+02
5.001130653266331501e+04,1.647960000000000050e-02,-1.060019999999999953e+02
5.001356783919598092e+04,1.681529999999999830e-02,-1.060439999999999969e+02
5.001582914572864684e+04,1.712050000000000030e-02,-1.060739999999999981e+02
5.001809045226130547e+04,1.748670000000000085e-02,-1.061400000000000006e+02
5.002035175879397138e+04,1.785290000000000141e-02,-1.061880000000000024e+02
5.002261306532663002e+04,1.828010000000000052e-02,-1.062540000000000049e+02
5.002487437185929593e+04,1.867689999999999975e-02,-1.063499999999999943e+02
5.002713567839196185e+04,1.913460000000000161e-02,-1.063859999999999957e+02
5.002939698492462048e+04,1.962289999999999868e-02,-1.064639999999999986e+02
5.003165829145728640e+04,2.014169999999999849e-02,-1.065300000000000011e+02
5.003391959798995231e+04,2.069100000000000106e-02,-1.066560000000000059e+02
5.003618090452261094e+04,2.127089999999999884e-02,-1.067339999999999947e+02
5.003844221105527686e+04,2.194230000000000139e-02,-1.068659999999999997e+02
5.004070351758794277e+04,2.261360000000000106e-02,-1.069560000000000031e+02
5.004296482412060141e+04,2.337660000000000085e-02,-1.070639999999999930e+02
5.004522613065326732e+04,2.420059999999999920e-02,-1.072139999999999986e+02
5.004748743718593323e+04,2.508559999999999957e-02,-1.073280000000000030e+02
5.004974874371859187e+04,2.609260000000000052e-02,-1.074959999999999951e+02
5.005201005025125778e+04,2.719130000000000158e-02,-1.076940000000000026e+02
5.005427135678391642e+04,2.841199999999999976e-02,-1.078619999999999948e+02
5.005653266331658233e+04,2.975480000000000139e-02,-1.081020000000000039e+02
