# sens: 25
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50080freqfini: 50110n_med: 200Los datos estan ordenados de forma freqs, rs, ts.
5.008000000000000000e+04,6.573529999999999651e-02,-1.146959999999999980e+02
5.008015075376884488e+04,6.729169999999999596e-02,-1.145639999999999930e+02
5.008030150753768976e+04,6.790210000000000690e-02,-1.146659999999999968e+02
5.008045226130653464e+04,6.851240000000000108e-02,-1.147680000000000007e+02
5.008060301507537952e+04,6.912279999999999813e-02,-1.148880000000000052e+02
5.008075376884422440e+04,6.976369999999999794e-02,-1.150019999999999953e+02
5.008090452261306200e+04,7.043499999999999761e-02,-1.151280000000000001e+02
5.008105527638190688e+04,7.110640000000000016e-02,-1.152420000000000044e+02
5.008120603015075176e+04,7.177780000000000271e-02,-1.153619999999999948e+02
5.008135678391959664e+04,7.247969999999999413e-02,-1.154939999999999998e+02
5.008150753768844152e+04,7.315109999999999668e-02,-1.156080000000000041e+02
5.008165829145728640e+04,7.388350000000000473e-02,-1.157339999999999947e+02
5.008180904522613127e+04,7.461600000000000177e-02,-1.158539999999999992e+02
5.008195979899497615e+04,7.537889999999999868e-02,-1.159980000000000047e+02
5.008211055276382103e+04,7.614179999999999560e-02,-1.161419999999999959e+02
5.008226130653266591e+04,7.690479999999999539e-02,-1.162800000000000011e+02
5.008241206030151079e+04,7.772869999999999779e-02,-1.164180000000000064e+02
5.008256281407034840e+04,7.852220000000000033e-02,-1.165679999999999978e+02
5.008271356783919327e+04,7.937669999999999448e-02,-1.167240000000000038e+02
5.008286432160803815e+04,8.020069999999999977e-02,-1.168739999999999952e+02
5.008301507537688303e+04,8.108569999999999667e-02,-1.170360000000000014e+02
5.008316582914572791e+04,8.197069999999999357e-02,-1.171919999999999931e+02
5.008331658291457279e+04,8.288619999999999322e-02,-1.173599999999999994e+02
5.008346733668341767e+04,8.383229999999999849e-02,-1.175280000000000058e+02
5.008361809045226255e+04,8.477830000000000088e-02,-1.176959999999999980e+02
5.008376884422110743e+04,8.575489999999999502e-02,-1.178820000000000050e+02
5.008391959798995231e+04,8.676200000000000578e-02,-1.180679999999999978e+02
5.008407035175879719e+04,8.779950000000000254e-02,-1.182540000000000049e+02
5.008422110552763479e+04,8.883710000000000218e-02,-1.184399999999999977e+02
5.008437185929647967e+04,8.990529999999999355e-02,-1.186380000000000052e+02
5.008452261306532455e+04,9.100389999999999868e-02,-1.188479999999999990e+02
5.008467336683416943e+04,9.213300000000000656e-02,-1.190460000000000065e+02
5.008482412060301431e+04,9.329270000000000618e-02,-1.192500000000000000e+02
5.008497487437185919e+04,9.451339999999999741e-02,-1.194719999999999942e+02
5.008512562814070407e+04,9.573410000000000253e-02,-1.197000000000000028e+02
5.008527638190954895e+04,9.695479999999999376e-02,-1.199279999999999973e+02
5.008542713567839382e+04,9.826709999999999612e-02,-1.202459999999999951e+02
5.008557788944723870e+04,9.957929999999999560e-02,-1.205160000000000053e+02
5.008572864321608358e+04,1.009219999999999978e-01,-1.207800000000000011e+02
5.008587939698492119e+04,1.023260000000000003e-01,-1.210499999999999972e+02
5.008603015075376607e+04,1.037300000000000028e-01,-1.213199999999999932e+02
5.008618090452261094e+04,1.051949999999999968e-01,-1.216020000000000039e+02
5.008633165829145582e+04,1.065679999999999961e-01,-1.218900000000000006e+02
5.008648241206030070e+04,1.080020000000000008e-01,-1.221719999999999970e+02
5.008663316582914558e+04,1.095890000000000059e-01,-1.224659999999999940e+02
5.008678391959799046e+04,1.112070000000000003e-01,-1.227840000000000060e+02
5.008693467336683534e+04,1.128849999999999992e-01,-1.231020000000000039e+02
5.008708542713568022e+04,1.146250000000000047e-01,-1.234380000000000024e+02
5.008723618090452510e+04,1.163949999999999985e-01,-1.237740000000000009e+02
5.008738693467336998e+04,1.182560000000000000e-01,-1.241280000000000001e+02
5.008753768844220758e+04,1.201480000000000048e-01,-1.244939999999999998e+02
5.008768844221105246e+04,1.221010000000000012e-01,-1.248599999999999994e+02
5.008783919597989734e+04,1.241150000000000031e-01,-1.252439999999999998e+02
5.008798994974874222e+04,1.262220000000000009e-01,-1.256400000000000006e+02
5.008814070351758710e+04,1.283880000000000021e-01,-1.260540000000000020e+02
5.008829145728643198e+04,1.305860000000000076e-01,-1.264980000000000047e+02
5.008844221105527686e+04,1.329049999999999954e-01,-1.269419999999999931e+02
5.008859296482412174e+04,1.352549999999999863e-01,-1.274039999999999964e+02
5.008874371859296662e+04,1.377269999999999883e-01,-1.278900000000000006e+02
5.008889447236181149e+04,1.402899999999999980e-01,-1.283940000000000055e+02
5.008904522613065637e+04,1.428840000000000110e-01,-1.289099999999999966e+02
5.008919597989949398e+04,1.456000000000000072e-01,-1.294499999999999886e+02
5.008934673366833886e+04,1.484379999999999866e-01,-1.300140000000000100e+02
5.008949748743718374e+04,1.513680000000000025e-01,-1.306020000000000039e+02
5.008964824120602862e+04,1.543889999999999985e-01,-1.312139999999999986e+02
5.008979899497487349e+04,1.575330000000000064e-01,-1.318499999999999943e+02
5.008994974874371837e+04,1.607679999999999942e-01,-1.325219999999999914e+02
5.009010050251256325e+04,1.641549999999999954e-01,-1.332119999999999891e+02
5.009025125628140813e+04,1.676340000000000052e-01,-1.339439999999999884e+02
5.009040201005025301e+04,1.712660000000000016e-01,-1.346999999999999886e+02
5.009055276381909789e+04,1.750190000000000079e-01,-1.354919999999999902e+02
5.009070351758794277e+04,1.789260000000000017e-01,-1.363079999999999927e+02
5.009085427135678037e+04,1.829540000000000055e-01,-1.371779999999999973e+02
5.009100502512562525e+04,1.871349999999999958e-01,-1.380900000000000034e+02
5.009115577889447013e+04,1.914679999999999993e-01,-1.390380000000000109e+02
5.009130653266331501e+04,1.959239999999999871e-01,-1.400399999999999920e+02
5.009145728643215989e+04,2.005929999999999935e-01,-1.410840000000000032e+02
5.009160804020100477e+04,2.053840000000000110e-01,-1.421879999999999882e+02
5.009175879396984965e+04,2.103589999999999904e-01,-1.433520000000000039e+02
5.009190954773869453e+04,2.154550000000000076e-01,-1.445639999999999930e+02
5.009206030150753941e+04,2.207349999999999868e-01,-1.458480000000000132e+02
5.009221105527638429e+04,2.261360000000000037e-01,-1.471860000000000070e+02
5.009236180904522917e+04,2.317210000000000103e-01,-1.485900000000000034e+02
5.009251256281406677e+04,2.373969999999999969e-01,-1.500840000000000032e+02
5.009266331658291165e+04,2.432570000000000010e-01,-1.516500000000000057e+02
5.009281407035175653e+04,2.491460000000000063e-01,-1.532940000000000111e+02
5.009296482412060141e+04,2.551899999999999724e-01,-1.550159999999999911e+02
5.009311557788944629e+04,2.612630000000000230e-01,-1.568340000000000032e+02
5.009326633165829116e+04,2.673360000000000181e-01,-1.587359999999999900e+02
5.009341708542713604e+04,2.733479999999999799e-01,-1.607400000000000091e+02
5.009356783919598092e+04,2.793289999999999940e-01,-1.628280000000000030e+02
5.009371859296482580e+04,2.851890000000000258e-01,-1.650000000000000000e+02
5.009386934673367068e+04,2.908040000000000069e-01,-1.672620000000000005e+02
5.009402010050251556e+04,2.962060000000000248e-01,-1.696320000000000050e+02
5.009417085427135316e+04,3.012099999999999778e-01,-1.720860000000000127e+02
5.009432160804019804e+04,3.058799999999999852e-01,-1.746299999999999955e+02
5.009447236180904292e+04,3.099990000000000245e-01,-1.772460000000000093e+02
5.009462311557788780e+04,3.136010000000000186e-01,-1.799459999999999980e+02
5.009477386934673268e+04,3.165000000000000036e-01,1.773060000000000116e+02
5.009492462311557756e+04,3.187889999999999890e-01,1.745039999999999907e+02
5.009507537688442244e+04,3.202840000000000131e-01,1.716659999999999968e+02
5.009522613065326732e+04,3.209859999999999935e-01,1.687980000000000018e+02
5.009537688442211220e+04,3.209250000000000158e-01,1.659300000000000068e+02
5.009552763819095708e+04,3.200089999999999879e-01,1.630620000000000118e+02
5.009567839195980196e+04,3.183309999999999751e-01,1.602119999999999891e+02
5.009582914572864684e+04,3.158889999999999754e-01,1.573859999999999957e+02
5.009597989949748444e+04,3.127460000000000240e-01,1.546140000000000043e+02
5.009613065326632932e+04,3.089310000000000112e-01,1.518959999999999866e+02
5.009628140703517420e+04,3.045669999999999766e-01,1.492439999999999998e+02
5.009643216080401908e+04,2.997150000000000092e-01,1.466699999999999875e+02
5.009658291457286396e+04,2.944359999999999755e-01,1.441800000000000068e+02
5.009673366834170884e+04,2.888200000000000212e-01,1.417860000000000014e+02
5.009688442211055371e+04,2.828689999999999816e-01,1.394759999999999991e+02
5.009703517587939859e+04,2.767660000000000120e-01,1.372500000000000000e+02
5.009718592964824347e+04,2.704790000000000250e-01,1.351260000000000048e+02
5.009733668341708835e+04,2.641620000000000079e-01,1.330920000000000130e+02
5.009748743718593323e+04,2.578449999999999909e-01,1.311419999999999959e+02
5.009763819095477083e+04,2.514970000000000261e-01,1.293000000000000114e+02
5.009778894472361571e+04,2.452709999999999890e-01,1.275360000000000014e+02
5.009793969849246059e+04,2.390760000000000107e-01,1.258559999999999945e+02
5.009809045226130547e+04,2.329720000000000124e-01,1.242540000000000049e+02
5.009824120603015035e+04,2.270210000000000006e-01,1.227300000000000040e+02
5.009839195979899523e+04,2.212230000000000030e-01,1.212900000000000063e+02
5.009854271356784011e+04,2.155769999999999909e-01,1.199159999999999968e+02
5.009869346733668499e+04,2.100839999999999930e-01,1.186140000000000043e+02
5.009884422110552987e+04,2.047740000000000116e-01,1.173659999999999997e+02
5.009899497487437475e+04,1.996159999999999879e-01,1.161779999999999973e+02
5.009914572864321963e+04,1.946420000000000095e-01,1.150439999999999969e+02
5.009929648241205723e+04,1.897899999999999865e-01,1.139699999999999989e+02
5.009944723618090211e+04,1.851210000000000078e-01,1.129500000000000028e+02
5.009959798994974699e+04,1.806339999999999890e-01,1.119719999999999942e+02
5.009974874371859187e+04,1.763319999999999887e-01,1.110540000000000020e+02
5.009989949748743675e+04,1.721509999999999985e-01,1.101719999999999970e+02
5.010005025125628163e+04,1.680919999999999914e-01,1.093259999999999934e+02
5.010020100502512651e+04,1.642160000000000009e-01,1.085100000000000051e+02
5.010035175879397138e+04,1.604929999999999968e-01,1.077360000000000042e+02
5.010050251256281626e+04,1.568920000000000037e-01,1.069920000000000044e+02
5.010065326633166114e+04,1.533819999999999906e-01,1.062780000000000058e+02
5.010080402010050602e+04,1.500249999999999917e-01,1.056059999999999945e+02
5.010095477386934363e+04,1.467910000000000048e-01,1.049459999999999980e+02
5.010110552763818851e+04,1.436780000000000002e-01,1.043220000000000027e+02
5.010125628140703338e+04,1.406560000000000032e-01,1.037279999999999944e+02
5.010140703517587826e+04,1.377569999999999906e-01,1.031520000000000010e+02
5.010155778894472314e+04,1.349499999999999866e-01,1.025999999999999943e+02
5.010170854271356802e+04,1.322339999999999904e-01,1.020660000000000025e+02
5.010185929648241290e+04,1.296400000000000052e-01,1.015559999999999974e+02
5.010201005025125778e+04,1.271069999999999978e-01,1.010580000000000069e+02
5.010216080402010266e+04,1.246339999999999948e-01,1.005780000000000030e+02
5.010231155778894754e+04,1.222540000000000016e-01,1.001159999999999997e+02
5.010246231155779242e+04,1.199650000000000022e-01,9.967799999999999727e+01
5.010261306532663002e+04,1.177679999999999977e-01,9.925199999999999534e+01
5.010276381909547490e+04,1.156009999999999954e-01,9.883799999999999386e+01
5.010291457286431978e+04,1.135560000000000042e-01,9.844799999999999329e+01
5.010306532663316466e+04,1.115420000000000023e-01,9.806399999999999295e+01
5.010321608040200954e+04,1.095890000000000059e-01,9.768600000000000705e+01
5.010336683417085442e+04,1.076970000000000011e-01,9.732599999999999341e+01
5.010351758793969930e+04,1.058660000000000018e-01,9.697799999999999443e+01
5.010366834170854418e+04,1.040959999999999941e-01,9.663599999999999568e+01
5.010381909547738906e+04,1.023560000000000025e-01,9.630599999999999739e+01
5.010396984924623393e+04,1.007080000000000058e-01,9.599399999999999977e+01
5.010412060301507881e+04,9.906049999999999578e-02,9.568800000000000239e+01
5.010427135678391642e+04,9.750409999999999633e-02,9.539400000000000546e+01
5.010442211055276130e+04,9.597830000000000250e-02,9.509999999999999432e+01
5.010457286432160618e+04,9.448289999999999467e-02,9.483599999999999852e+01
5.010472361809045105e+04,9.301810000000000633e-02,9.456000000000000227e+01
5.010487437185929593e+04,9.158370000000000399e-02,9.429600000000000648e+01
5.010502512562814081e+04,9.024100000000000177e-02,9.403199999999999648e+01
5.010517587939698569e+04,8.892869999999999941e-02,9.378000000000000114e+01
5.010532663316583057e+04,8.758589999999999431e-02,9.353400000000000603e+01
5.010547738693467545e+04,8.633470000000000033e-02,9.329999999999999716e+01
5.010562814070352033e+04,8.508350000000000635e-02,9.306600000000000250e+01
5.010577889447236521e+04,8.389330000000000398e-02,9.284399999999999409e+01
5.010592964824120281e+04,8.273360000000000436e-02,9.262199999999999989e+01
5.010608040201004769e+04,8.157399999999999374e-02,9.241200000000000614e+01
5.010623115577889257e+04,8.047529999999999961e-02,9.220799999999999841e+01
5.010638190954773745e+04,7.937669999999999448e-02,9.199800000000000466e+01
5.010653266331658233e+04,7.830860000000000598e-02,9.180599999999999739e+01
5.010668341708542721e+04,7.730149999999999522e-02,9.160800000000000409e+01
5.010683417085427209e+04,7.626389999999999558e-02,9.141599999999999682e+01
5.010698492462311697e+04,7.528730000000000144e-02,9.123000000000000398e+01
5.010713567839196185e+04,7.434129999999999905e-02,9.105599999999999739e+01
5.010728643216080673e+04,7.339529999999999665e-02,9.085800000000000409e+01
5.010743718592965160e+04,7.238819999999999977e-02,9.064799999999999613e+01
5.010758793969848921e+04,7.150320000000000287e-02,9.048000000000000398e+01
5.010773869346733409e+04,7.061820000000000597e-02,9.032399999999999807e+01
5.010788944723617897e+04,6.976369999999999794e-02,9.016200000000000614e+01
5.010804020100502385e+04,6.893970000000000653e-02,9.001200000000000045e+01
5.010819095477386873e+04,6.814620000000000399e-02,8.986199999999999477e+01
5.010834170854271360e+04,6.732230000000000159e-02,8.970000000000000284e+01
5.010849246231155848e+04,6.655930000000000180e-02,8.955599999999999739e+01
5.010864321608040336e+04,6.579640000000000488e-02,8.941800000000000637e+01
5.010879396984924824e+04,6.500290000000000235e-02,8.926800000000000068e+01
5.010894472361809312e+04,6.427049999999999430e-02,8.913599999999999568e+01
5.010909547738693800e+04,6.356860000000000288e-02,8.901000000000000512e+01
5.010924623115577560e+04,6.286669999999999758e-02,8.887800000000000011e+01
5.010939698492462048e+04,6.219510000000000316e-02,8.873999999999999488e+01
5.010954773869346536e+04,6.149319999999999786e-02,8.862000000000000455e+01
5.010969849246231024e+04,6.082180000000000225e-02,8.849399999999999977e+01
5.010984924623115512e+04,6.018090000000000245e-02,8.836799999999999500e+01
5.011000000000000000e+04,5.954000000000000264e-02,8.825400000000000489e+01
