# sens: 20
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50100freqfini: 50800n_med: 100Los datos estan ordenados de forma freqs, rs, ts.
5.010000000000000000e+04,1.092150000000000065e-02,1.094519999999999982e+02
5.010707070707070670e+04,1.092150000000000065e-02,9.123000000000000398e+01
5.011414141414141341e+04,1.092150000000000065e-02,8.575799999999999557e+01
5.012121212121212011e+04,1.092150000000000065e-02,8.326200000000000045e+01
5.012828282828282681e+04,1.092150000000000065e-02,8.179200000000000159e+01
5.013535353535353352e+04,1.092150000000000065e-02,8.081999999999999318e+01
5.014242424242424022e+04,1.092150000000000065e-02,8.012999999999999545e+01
5.014949494949494692e+04,1.092150000000000065e-02,7.962600000000000477e+01
5.015656565656565363e+04,1.075459999999999958e-02,7.924800000000000466e+01
5.016363636363636033e+04,9.112890000000000226e-03,7.893600000000000705e+01
5.017070707070707431e+04,7.776289999999999938e-03,7.868999999999999773e+01
5.017777777777778101e+04,6.667170000000000041e-03,7.848600000000000421e+01
5.018484848484848771e+04,5.732570000000000200e-03,7.831199999999999761e+01
5.019191919191919442e+04,4.932429999999999801e-03,7.818000000000000682e+01
5.019898989898990112e+04,4.240540000000000108e-03,7.807200000000000273e+01
5.020606060606060782e+04,3.636850000000000065e-03,7.804200000000000159e+01
5.021313131313131453e+04,3.104700000000000168e-03,7.804800000000000182e+01
5.022020202020202123e+04,2.634060000000000134e-03,7.810200000000000387e+01
5.022727272727272793e+04,2.213970000000000000e-03,7.824599999999999511e+01
5.023434343434343464e+04,1.837740000000000033e-03,7.848000000000000398e+01
5.024141414141414134e+04,1.498229999999999918e-03,7.881600000000000250e+01
5.024848484848484804e+04,1.190670000000000010e-03,7.935599999999999454e+01
5.025555555555555475e+04,9.112400000000000101e-04,8.020799999999999841e+01
5.026262626262626145e+04,6.570849999999999608e-04,8.162999999999999545e+01
5.026969696969696815e+04,4.243869999999999739e-04,8.450400000000000489e+01
