# sens: 25
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50000freqfini: 50800n_med: 100Los datos estan ordenados de forma freqs, rs, ts.
5.000000000000000000e+04,1.501470000000000062e-02,-1.057620000000000005e+02
5.000808080808080558e+04,1.605240000000000139e-02,-1.059539999999999935e+02
5.001616161616161844e+04,1.718149999999999886e-02,-1.060979999999999990e+02
5.002424242424242402e+04,1.855479999999999977e-02,-1.063199999999999932e+02
5.003232323232322960e+04,2.029430000000000123e-02,-1.066020000000000039e+02
5.004040404040404246e+04,2.252209999999999976e-02,-1.069500000000000028e+02
5.004848484848484804e+04,2.551279999999999867e-02,-1.073940000000000055e+02
5.005656565656565363e+04,2.972419999999999923e-02,-1.081080000000000041e+02
5.006464646464646648e+04,3.619409999999999988e-02,-1.091580000000000013e+02
5.007272727272727207e+04,4.714990000000000153e-02,-1.110180000000000007e+02
5.008080808080807765e+04,6.982470000000000343e-02,-1.149899999999999949e+02
5.008888888888889051e+04,1.397100000000000009e-01,-1.282740000000000009e+02
5.009696969696969609e+04,2.772850000000000037e-01,1.384799999999999898e+02
5.010505050505050167e+04,9.109540000000000692e-02,9.492000000000000171e+01
5.011313131313131453e+04,4.888939999999999952e-02,8.626800000000000068e+01
5.012121212121212011e+04,3.228779999999999845e-02,8.321399999999999864e+01
5.012929292929292569e+04,2.346809999999999868e-02,8.155200000000000671e+01
5.013737373737373855e+04,1.800550000000000067e-02,8.052599999999999625e+01
5.014545454545454413e+04,1.428229999999999951e-02,7.985399999999999920e+01
5.015353535353535699e+04,1.159669999999999972e-02,7.931999999999999318e+01
5.016161616161616257e+04,9.552059999999999371e-03,7.894199999999999307e+01
5.016969696969696815e+04,7.934629999999999808e-03,7.864199999999999591e+01
5.017777777777778101e+04,6.652860000000000024e-03,7.846200000000000330e+01
5.018585858585858659e+04,5.615260000000000390e-03,7.819199999999999307e+01
5.019393939393939218e+04,4.730250000000000080e-03,7.821599999999999397e+01
5.020202020202020503e+04,3.936799999999999848e-03,7.812600000000000477e+01
5.021010101010101062e+04,3.295909999999999986e-03,7.812600000000000477e+01
5.021818181818181620e+04,2.746600000000000083e-03,7.815000000000000568e+01
5.022626262626262906e+04,2.258319999999999859e-03,7.811400000000000432e+01
5.023434343434343464e+04,1.831060000000000023e-03,7.848600000000000421e+01
5.024242424242424022e+04,1.434329999999999937e-03,7.868999999999999773e+01
5.025050505050505308e+04,1.098639999999999903e-03,7.954200000000000159e+01
5.025858585858585866e+04,7.934609999999999710e-04,8.034000000000000341e+01
5.026666666666666424e+04,4.882849999999999777e-04,8.265000000000000568e+01
5.027474747474747710e+04,2.441419999999999810e-04,9.000000000000000000e+01
5.028282828282828268e+04,6.103560000000000224e-05,1.350000000000000000e+02
5.029090909090908826e+04,1.831059999999999914e-04,-1.236899999999999977e+02
5.029898989898990112e+04,3.662129999999999986e-04,-1.132019999999999982e+02
