# sens: 22
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50000freqfini: 50300n_med: 100Los datos estan ordenados de forma freqs, rs, ts.
5.000000000000000000e+04,1.500139999999999980e-02,-1.057439999999999998e+02
5.000303030303030391e+04,1.545909999999999992e-02,-1.058100000000000023e+02
5.000606060606060782e+04,1.581199999999999967e-02,-1.058580000000000041e+02
5.000909090909091174e+04,1.618779999999999872e-02,-1.059180000000000064e+02
5.001212121212121565e+04,1.659410000000000052e-02,-1.059779999999999944e+02
5.001515151515151229e+04,1.702700000000000047e-02,-1.060499999999999972e+02
5.001818181818181620e+04,1.749619999999999995e-02,-1.061159999999999997e+02
5.002121212121212011e+04,1.800739999999999980e-02,-1.061940000000000026e+02
5.002424242424242402e+04,1.855479999999999977e-02,-1.062720000000000056e+02
5.002727272727272793e+04,1.915559999999999832e-02,-1.063679999999999950e+02
5.003030303030303185e+04,1.980979999999999894e-02,-1.064699999999999989e+02
5.003333333333333576e+04,2.052700000000000011e-02,-1.065840000000000032e+02
5.003636363636363967e+04,2.132049999999999917e-02,-1.067099999999999937e+02
5.003939393939393631e+04,2.219780000000000017e-02,-1.068479999999999990e+02
5.004242424242424022e+04,2.317630000000000037e-02,-1.069980000000000047e+02
5.004545454545454413e+04,2.427299999999999944e-02,-1.071779999999999973e+02
5.004848484848484804e+04,2.551089999999999955e-02,-1.073700000000000045e+02
5.005151515151515196e+04,2.692040000000000058e-02,-1.076039999999999992e+02
5.005454545454545587e+04,2.853599999999999887e-02,-1.078679999999999950e+02
5.005757575757575978e+04,3.040709999999999941e-02,-1.081740000000000066e+02
5.006060606060606369e+04,3.260060000000000041e-02,-1.085340000000000060e+02
5.006363636363636033e+04,3.521939999999999793e-02,-1.089659999999999940e+02
5.006666666666666424e+04,3.837229999999999808e-02,-1.095000000000000000e+02
5.006969696969696815e+04,4.226710000000000189e-02,-1.101539999999999964e+02
5.007272727272727207e+04,4.718610000000000165e-02,-1.110000000000000000e+02
5.007575757575757598e+04,5.358910000000000062e-02,-1.120979999999999990e+02
5.007878787878787989e+04,5.460949999999999832e-02,-1.136159999999999997e+02
5.008181818181818380e+04,5.460949999999999832e-02,-1.157939999999999969e+02
5.008484848484848771e+04,5.460949999999999832e-02,-1.192019999999999982e+02
5.008787878787878435e+04,5.460949999999999832e-02,-1.252439999999999998e+02
5.009090909090908826e+04,5.460949999999999832e-02,-1.373820000000000050e+02
5.009393939393939218e+04,5.460949999999999832e-02,-1.681800000000000068e+02
5.009696969696969609e+04,5.460949999999999832e-02,1.385759999999999934e+02
5.010000000000000000e+04,5.460949999999999832e-02,1.097819999999999965e+02
5.010303030303030391e+04,5.460949999999999832e-02,9.812999999999999545e+01
5.010606060606060782e+04,5.460949999999999832e-02,9.232200000000000273e+01
5.010909090909091174e+04,5.460949999999999832e-02,8.896200000000000330e+01
5.011212121212121565e+04,5.174469999999999764e-02,8.676600000000000534e+01
5.011515151515151229e+04,4.329319999999999696e-02,8.524200000000000443e+01
5.011818181818181620e+04,3.701999999999999735e-02,8.409600000000000364e+01
5.012121212121212011e+04,3.217720000000000302e-02,8.321999999999999886e+01
5.012424242424242402e+04,2.832809999999999842e-02,8.251200000000000045e+01
5.012727272727272793e+04,2.519429999999999933e-02,8.192400000000000659e+01
5.013030303030303185e+04,2.259840000000000113e-02,8.143200000000000216e+01
5.013333333333333576e+04,2.040300000000000100e-02,8.101200000000000045e+01
