# sens: 17
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50100freqfini: 50800n_med: 100Los datos estan ordenados de forma freqs, rs, ts.
5.010000000000000000e+04,1.092139999999999908e-03,1.093799999999999955e+02
5.010707070707070670e+04,1.092139999999999908e-03,9.121200000000000330e+01
5.011414141414141341e+04,1.092139999999999908e-03,8.573999999999999488e+01
5.012121212121212011e+04,1.092139999999999908e-03,8.325000000000000000e+01
5.012828282828282681e+04,1.092139999999999908e-03,8.178600000000000136e+01
5.013535353535353352e+04,1.092139999999999908e-03,8.081999999999999318e+01
5.014242424242424022e+04,1.092139999999999908e-03,8.012999999999999545e+01
5.014949494949494692e+04,1.092139999999999908e-03,7.962000000000000455e+01
5.015656565656565363e+04,1.092139999999999908e-03,7.924200000000000443e+01
5.016363636363636033e+04,1.092139999999999908e-03,7.893000000000000682e+01
5.017070707070707431e+04,1.092139999999999908e-03,7.868399999999999750e+01
5.017777777777778101e+04,1.092139999999999908e-03,7.848000000000000398e+01
5.018484848484848771e+04,1.092139999999999908e-03,7.829999999999999716e+01
5.019191919191919442e+04,1.092139999999999908e-03,7.817400000000000659e+01
5.019898989898990112e+04,1.092139999999999908e-03,7.807800000000000296e+01
5.020606060606060782e+04,1.092139999999999908e-03,7.803000000000000114e+01
5.021313131313131453e+04,1.092139999999999908e-03,7.803600000000000136e+01
5.022020202020202123e+04,1.092139999999999908e-03,7.809600000000000364e+01
5.022727272727272793e+04,1.092139999999999908e-03,7.823399999999999466e+01
5.023434343434343464e+04,1.092139999999999908e-03,7.846800000000000352e+01
5.024141414141414134e+04,1.092139999999999908e-03,7.880400000000000205e+01
5.024848484848484804e+04,1.092139999999999908e-03,7.933799999999999386e+01
5.025555555555555475e+04,9.117759999999999927e-04,8.018999999999999773e+01
5.026262626262626145e+04,6.571450000000000381e-04,8.161199999999999477e+01
5.026969696969696815e+04,4.246249999999999808e-04,8.446800000000000352e+01
5.027676767676767486e+04,2.138030000000000128e-04,9.255599999999999739e+01
5.028383838383838156e+04,5.972409999999999964e-05,1.596959999999999980e+02
5.029090909090908826e+04,1.860270000000000131e-04,-1.220340000000000060e+02
5.029797979797979497e+04,3.517290000000000065e-04,-1.130819999999999936e+02
5.030505050505050167e+04,5.087289999999999738e-04,-1.100160000000000053e+02
5.031212121212121565e+04,6.562509999999999481e-04,-1.084260000000000019e+02
5.031919191919192235e+04,7.947720000000000132e-04,-1.074539999999999935e+02
5.032626262626262906e+04,9.253059999999999801e-04,-1.067819999999999965e+02
5.033333333333333576e+04,1.048099999999999943e-03,-1.062960000000000065e+02
5.034040404040404246e+04,1.092139999999999908e-03,-1.059300000000000068e+02
5.034747474747474917e+04,1.092139999999999908e-03,-1.056299999999999955e+02
5.035454545454545587e+04,1.092139999999999908e-03,-1.053960000000000008e+02
5.036161616161616257e+04,1.092139999999999908e-03,-1.052099999999999937e+02
5.036868686868686927e+04,1.092139999999999908e-03,-1.050540000000000020e+02
5.037575757575757598e+04,1.092139999999999908e-03,-1.049279999999999973e+02
5.038282828282828268e+04,1.092139999999999908e-03,-1.048259999999999934e+02
5.038989898989898938e+04,1.092139999999999908e-03,-1.047360000000000042e+02
5.039696969696969609e+04,1.092139999999999908e-03,-1.046700000000000017e+02
5.040404040404040279e+04,1.092139999999999908e-03,-1.046159999999999997e+02
5.041111111111110949e+04,1.092139999999999908e-03,-1.045739999999999981e+02
5.041818181818181620e+04,1.092139999999999908e-03,-1.045319999999999965e+02
5.042525252525252290e+04,1.092139999999999908e-03,-1.045019999999999953e+02
5.043232323232322960e+04,1.092139999999999908e-03,-1.044839999999999947e+02
5.043939393939393631e+04,1.092139999999999908e-03,-1.044659999999999940e+02
5.044646464646464301e+04,1.092139999999999908e-03,-1.044539999999999935e+02
5.045353535353535699e+04,1.092139999999999908e-03,-1.044659999999999940e+02
5.046060606060606369e+04,1.092139999999999908e-03,-1.044479999999999933e+02
5.046767676767677040e+04,1.092139999999999908e-03,-1.044539999999999935e+02
5.047474747474747710e+04,1.092139999999999908e-03,-1.044599999999999937e+02
5.048181818181818380e+04,1.092139999999999908e-03,-1.044659999999999940e+02
5.048888888888889051e+04,1.092139999999999908e-03,-1.044779999999999944e+02
5.049595959595959721e+04,1.092139999999999908e-03,-1.044779999999999944e+02
5.050303030303030391e+04,1.092139999999999908e-03,-1.044839999999999947e+02
5.051010101010101062e+04,1.092139999999999908e-03,-1.044959999999999951e+02
5.051717171717171732e+04,1.092139999999999908e-03,-1.045079999999999956e+02
5.052424242424242402e+04,1.092139999999999908e-03,-1.045139999999999958e+02
5.053131313131313073e+04,1.092139999999999908e-03,-1.045259999999999962e+02
5.053838383838383743e+04,1.092139999999999908e-03,-1.045379999999999967e+02
5.054545454545454413e+04,1.092139999999999908e-03,-1.045439999999999969e+02
5.055252525252525083e+04,1.092139999999999908e-03,-1.045439999999999969e+02
5.055959595959595754e+04,1.092139999999999908e-03,-1.045499999999999972e+02
5.056666666666666424e+04,1.092139999999999908e-03,-1.045619999999999976e+02
5.057373737373737094e+04,1.092139999999999908e-03,-1.045739999999999981e+02
5.058080808080807765e+04,1.092139999999999908e-03,-1.045679999999999978e+02
5.058787878787878435e+04,1.092139999999999908e-03,-1.045799999999999983e+02
5.059494949494949833e+04,1.092139999999999908e-03,-1.045739999999999981e+02
5.060202020202020503e+04,1.092139999999999908e-03,-1.045739999999999981e+02
5.060909090909091174e+04,1.092139999999999908e-03,-1.045799999999999983e+02
5.061616161616161844e+04,1.092139999999999908e-03,-1.045799999999999983e+02
5.062323232323232514e+04,1.092139999999999908e-03,-1.045799999999999983e+02
5.063030303030303185e+04,1.092139999999999908e-03,-1.045799999999999983e+02
5.063737373737373855e+04,1.092139999999999908e-03,-1.045679999999999978e+02
5.064444444444444525e+04,1.092139999999999908e-03,-1.045679999999999978e+02
5.065151515151515196e+04,1.092139999999999908e-03,-1.045619999999999976e+02
5.065858585858585866e+04,1.092139999999999908e-03,-1.045559999999999974e+02
5.066565656565656536e+04,1.092139999999999908e-03,-1.045499999999999972e+02
5.067272727272727207e+04,1.092139999999999908e-03,-1.045439999999999969e+02
5.067979797979797877e+04,1.092139999999999908e-03,-1.045319999999999965e+02
5.068686868686868547e+04,1.092139999999999908e-03,-1.045199999999999960e+02
5.069393939393939218e+04,1.092139999999999908e-03,-1.045139999999999958e+02
5.070101010101009888e+04,1.092139999999999908e-03,-1.044959999999999951e+02
5.070808080808080558e+04,1.092139999999999908e-03,-1.044899999999999949e+02
5.071515151515151229e+04,1.092139999999999908e-03,-1.044719999999999942e+02
5.072222222222221899e+04,1.092139999999999908e-03,-1.044659999999999940e+02
5.072929292929293297e+04,1.092139999999999908e-03,-1.044539999999999935e+02
5.073636363636363967e+04,1.092139999999999908e-03,-1.044360000000000070e+02
5.074343434343434637e+04,1.092139999999999908e-03,-1.044300000000000068e+02
5.075050505050505308e+04,1.092139999999999908e-03,-1.044120000000000061e+02
5.075757575757575978e+04,1.092139999999999908e-03,-1.043940000000000055e+02
5.076464646464646648e+04,1.092139999999999908e-03,-1.043880000000000052e+02
5.077171717171717319e+04,1.092139999999999908e-03,-1.043640000000000043e+02
5.077878787878787989e+04,1.092139999999999908e-03,-1.043520000000000039e+02
5.078585858585858659e+04,1.092139999999999908e-03,-1.043460000000000036e+02
5.079292929292929330e+04,1.092139999999999908e-03,-1.043340000000000032e+02
5.080000000000000000e+04,1.092139999999999908e-03,-1.043280000000000030e+02
