# sens: 20
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50275freqfini: 50295n_med: 200Los datos estan ordenados de forma freqs, rs, ts.
5.027500000000000000e+04,2.336510000000000030e-04,9.056999999999999318e+01
5.027510050251256325e+04,2.598780000000000079e-04,8.977800000000000580e+01
5.027520100502512651e+04,2.565399999999999799e-04,9.000000000000000000e+01
5.027530150753768976e+04,2.541560000000000108e-04,9.015000000000000568e+01
5.027540201005025301e+04,2.512950000000000123e-04,9.030599999999999739e+01
5.027550251256281626e+04,2.479569999999999843e-04,9.046200000000000330e+01
5.027560301507537952e+04,2.450959999999999857e-04,9.062399999999999523e+01
5.027570351758794277e+04,2.422339999999999986e-04,9.078600000000000136e+01
5.027580402010050602e+04,2.393730000000000001e-04,9.095399999999999352e+01
5.027590452261306200e+04,2.365120000000000015e-04,9.112800000000000011e+01
5.027600502512562525e+04,2.336510000000000030e-04,9.130800000000000693e+01
5.027610552763818851e+04,2.307900000000000045e-04,9.148799999999999955e+01
5.027620603015075176e+04,2.279290000000000059e-04,9.167400000000000659e+01
5.027630653266331501e+04,2.250680000000000074e-04,9.195000000000000284e+01
5.027640703517587826e+04,2.222070000000000089e-04,9.214199999999999591e+01
5.027650753768844152e+04,2.198230000000000127e-04,9.234600000000000364e+01
5.027660804020100477e+04,2.169619999999999871e-04,9.255599999999999739e+01
5.027670854271356802e+04,2.141009999999999886e-04,9.276600000000000534e+01
5.027680904522613127e+04,2.112399999999999901e-04,9.298199999999999932e+01
5.027690954773869453e+04,2.083789999999999915e-04,9.320399999999999352e+01
5.027701005025125778e+04,2.055179999999999930e-04,9.343800000000000239e+01
5.027711055276382103e+04,2.026569999999999945e-04,9.367199999999999704e+01
5.027721105527638429e+04,1.997959999999999960e-04,9.391800000000000637e+01
5.027731155778894754e+04,1.974119999999999998e-04,9.416400000000000148e+01
5.027741206030151079e+04,1.945500000000000126e-04,9.442199999999999704e+01
5.027751256281406677e+04,1.916889999999999870e-04,9.468000000000000682e+01
5.027761306532663002e+04,1.888279999999999885e-04,9.495600000000000307e+01
5.027771356783919327e+04,1.859669999999999900e-04,9.523199999999999932e+01
5.027781407035175653e+04,1.835829999999999938e-04,9.551399999999999579e+01
5.027791457286431978e+04,1.807219999999999953e-04,9.592199999999999704e+01
5.027801507537688303e+04,1.778609999999999967e-04,9.611400000000000432e+01
5.027811557788944629e+04,1.749999999999999982e-04,9.643800000000000239e+01
5.027821608040200954e+04,1.726160000000000021e-04,9.675600000000000023e+01
5.027831658291457279e+04,1.697550000000000035e-04,9.720600000000000307e+01
5.027841708542713604e+04,1.668940000000000050e-04,9.743399999999999750e+01
5.027851758793969930e+04,1.649870000000000113e-04,9.790200000000000102e+01
5.027861809045226255e+04,1.616490000000000103e-04,9.828000000000000114e+01
5.027871859296482580e+04,1.592649999999999871e-04,9.865800000000000125e+01
5.027881909547738906e+04,1.564039999999999886e-04,9.906000000000000227e+01
5.027891959798995231e+04,1.535420000000000014e-04,9.946200000000000330e+01
5.027902010050251556e+04,1.516350000000000076e-04,9.987600000000000477e+01
5.027912060301507881e+04,1.487740000000000091e-04,1.003080000000000069e+02
5.027922110552763479e+04,1.463900000000000130e-04,1.006200000000000045e+02
5.027932160804019804e+04,1.435289999999999873e-04,1.012319999999999993e+02
5.027942211055276130e+04,1.411449999999999912e-04,1.017060000000000031e+02
5.027952261306532455e+04,1.382839999999999926e-04,1.022279999999999944e+02
5.027962311557788780e+04,1.358999999999999965e-04,1.027439999999999998e+02
5.027972361809045105e+04,1.330380000000000093e-04,1.031340000000000003e+02
5.027982412060301431e+04,1.306540000000000132e-04,1.038239999999999981e+02
5.027992462311557756e+04,1.282699999999999899e-04,1.044360000000000070e+02
5.028002512562814081e+04,1.258859999999999938e-04,1.050300000000000011e+02
5.028012562814070407e+04,1.235019999999999976e-04,1.056479999999999961e+02
5.028022613065326732e+04,1.211169999999999993e-04,1.062900000000000063e+02
